loss_fn,metric,param_a,param_b,param_c,param_d,param_e,r2_train,adj_r2_train,r2_test,adj_r2_test,f_stat,f_pval,t_stat,t_pval,400m_mae,400m_rmse,400m_bias,1b_mae,1b_rmse,1b_bias,400m_boot_ci_lo,400m_boot_ci_hi,1b_boot_ci_lo,1b_boot_ci_hi,400m_delta_ci_lo,400m_delta_ci_hi,1b_delta_ci_lo,1b_delta_ci_hi
listnet,ndcg@100,0.4452555255244348,-7610244.524160974,-1.085298257303103,-1.958098793767505,-0.44584639610467586,0.9326652711770004,0.9312624643265213,0.047254181100270354,0.006711805827941397,664.8565131104319,2.9361331155133324e-111,6.648783162896226,1.6859087650531162e-09,0.011460766287421646,0.01657863056451606,0.008759701098069644,0.022533979069381357,0.03610992906275141,0.022533979069381357,nan,nan,nan,nan,0.39074748072860366,0.4041041291431009,0.39186039524804606,0.40757009015930024
listnet,MAP,0.37697574280068,-6454938.299653721,-1.0668708089208572,-2.0342267976499184,-0.4272210771869115,0.9345119175927644,0.9331475825426137,0.07752952583171113,0.03827546310114571,684.9577876706403,2.0382080115231072e-112,7.090751760871818,2.085357611396425e-10,0.01329189517217949,0.018989449607528155,0.010463757322383015,0.026634484701761676,0.04090801199135724,0.026634484701761676,0.3131183351688267,0.3250184058039047,0.3147049086628783,0.3324286836945291,0.31120457966527737,0.32629419218983446,0.31259291811738643,0.33043785661379543
listnet,MRR,0.3784859046832433,-7473947.905313945,-1.0755502363026517,-2.0683857340313923,-0.4300113433298138,0.9337699558135234,0.9323901632263052,0.062939507684028,0.02306459311739084,676.7466099350878,6.006387901660194e-112,7.145022630119814,1.6088812008163022e-10,0.013430048251834558,0.019188994154261136,0.0106908359280009,0.027005267898539614,0.04136173877249078,0.027005267898539614,0.3147978713075158,0.328353758054446,0.3166650203592949,0.3328922100513895,0.3131551143747998,0.3283371720025514,0.3145048956275176,0.33241029804317856
listnet,CE100,4.04076427019904,5754.4797976357395,-0.6091853637674681,2.0495118459869084,-0.3473278617577962,0.8844152497682943,0.8820072341384672,0.4264916689155731,0.4020870590821932,367.2796965324347,9.385651627346815e-89,-3.1291631248236067,0.002309495627081614,0.039690381561055935,0.04659712833072745,-0.006591260125518332,0.031155742008144516,0.04772970049069599,-0.02169131764230803,nan,nan,nan,nan,4.161429999951135,4.200563222151088,4.138521487411852,4.194871042219756
listnet,CE32,2.9192391933916477,5641.371503483486,-0.6098620462665312,2.006975908579303,-0.3494638327491225,0.8845586302401676,0.8821536017035044,0.4249266062984026,0.40045539805578145,367.79548215566564,8.332657214928967e-89,-3.109658630214222,0.002452681389968298,0.038331301582751255,0.04501480241961712,-0.006313910404035247,0.030164331677703535,0.04629782573204425,-0.020910286033783726,nan,nan,nan,nan,3.0353093691672965,3.073247803325863,3.013128545176571,3.067740613587683
listnet,CE64,3.5992129560021886,5648.887001462988,-0.6084761237007481,2.0387215528541596,-0.34793103130029834,0.8845634483322676,0.8821585201725232,0.4270451634339658,0.40266410655881546,367.8128366322061,8.299381688840994e-89,-3.1122220782559946,0.0024334029090461095,0.03934441624112618,0.046176595712124506,-0.006462111187199841,0.030880603285648248,0.047327305112951745,-0.021435021367903307,3.711845168980482,3.756865447557632,3.6934495248497496,3.747747963154752,3.718770444937466,3.7576070650491338,3.6959925522358534,3.7519376011685437
ranknet,recall@1,0.29805178710686336,-29642344.905266054,-1.1879401916313037,-1.3397485916571725,-0.32824419903445684,0.9106321033278085,0.9087989157037636,0.7060495417189614,0.6975905357252624,496.74790042411837,4.936413109739295e-101,9.38293425903605,1.3528399687161933e-16,0.012251355535662761,0.017761453133126524,0.009595785158451858,0.020301152706493682,0.0273209683475157,0.020301152706493682,nan,nan,nan,nan,0.20717678404475373,0.2208250605126155,0.20741835603071185,0.22295981203521892
ranknet,recall@2,0.42033122364834813,-50949720.70417418,-1.1994539513113585,-2.2993827209641546,-0.37109973043526084,0.9065616487364634,0.9046449646079806,0.6825216295234646,0.6733855613083125,472.9843771670786,3.779997577586492e-99,10.322181102539282,5.181631497778816e-19,0.019155107127450548,0.026755162533066965,0.016419200030648173,0.030389779981744573,0.04130279628092389,0.030389779981744573,nan,nan,nan,nan,0.30973407627088534,0.329876802767477,0.30999576027700104,0.33288400944785923
ranknet,recall@5,0.5656616466335997,-65105229.27158559,-1.1974098162141062,-4.296560844255015,-0.446255820402994,0.9041916186257621,0.9022263184950086,0.690843791446768,0.6819472099056678,460.0781348745183,4.335160631861826e-98,7.811762890198798,1.104628901584905e-12,0.022324923557479212,0.03352212344053672,0.017318238921899702,0.03488389715914233,0.054563312079566974,0.0336563842926631,nan,nan,nan,nan,0.4517920202602097,0.47953111842189966,0.45204014633458384,0.4836286069579237
ranknet,recall@10,0.6503987440008787,-263727292.3621118,-1.2840239767970776,-6.181653217363559,-0.5002777841921436,0.9056594112470188,0.903724219682855,0.6373734533712687,0.626938157065406,467.9947081303005,9.63766760874689e-99,6.25264944530569,4.388983887310045e-09,0.025526660692487164,0.03862405568449549,0.017067698259709854,0.03832456288374963,0.06332671332828542,0.03282696910226179,0.5488279358895534,0.5765275458357157,0.5499415488178415,0.5770657362371974,0.5456099416309411,0.5745734574458977,0.5455773407757012,0.5778932417994778
ranknet,recall@50,0.6973087381034055,-389786244.2004768,-1.3667348396622816,-9.297731191226491,-0.6978929405802077,0.8940984302355877,0.8919260903429843,0.4259177474487168,0.40939739485731297,411.58311978707013,7.470114408631216e-94,2.9398077327543377,0.0038310020956348113,0.017156810916595655,0.025720578050930996,0.005249203640105661,0.023787759760971694,0.041053965555352845,0.012058269488373645,nan,nan,nan,nan,0.663563589745881,0.6803860507635856,0.6632117845755972,0.6817126604536441
ranknet,recall@100,0.6666189112402376,-0.16093143951351793,-1.2326319816315776,-0.28355940918927874,-4.212172362600084,-2358525192137.32,-2406905196078.6187,nan,nan,-48.74999999997934,1.0,-3.029163209841604,0.0029107663777539474,7.997916041030986e-11,1.5844425932704895e-10,-3.7175243970647866e-11,8.146171959211301e-11,1.550497695174246e-10,-4.133467568223636e-11,nan,nan,nan,nan,0.6666189112087335,0.6666189112637155,0.6666189112112172,0.6666189112666637
ranknet,precision@1,0.3040323964634954,-31158674.57187081,-1.1894426491694694,-1.366495449658578,-0.3282748855737271,0.9106147613470565,0.908781217990073,0.706057515508497,0.6975987389763675,496.6420662368191,5.030595350452576e-101,9.31107532497002,2.06214997675911e-16,0.01252377528750482,0.01812656773016969,0.00978121146775245,0.020464680662691356,0.027767181259931082,0.020464680662691356,nan,nan,nan,nan,0.21135786945433438,0.22529164018047826,0.21160783344096495,0.22746801231922592
ranknet,precision@2,0.21604070933302083,-27302531.204354543,-1.201627237631837,-1.1697604301941653,-0.36903263539115994,0.9071185485108304,0.9052132879674628,0.6865653333275037,0.6775456306894463,476.11259870394576,2.1116813166957108e-99,10.192467414457273,1.1231340801767736e-18,0.009735113534522187,0.01364116260487409,0.008302746904119175,0.0153485212434274,0.02099992421661228,0.0153485212434274,nan,nan,nan,nan,0.1588496949058923,0.16915981566089572,0.15899044192491624,0.17069863920541667
ranknet,precision@5,0.11673952730532318,-13922107.340643054,-1.1990392045848084,-0.8794379323053361,-0.4446526602021422,0.9044008402825636,0.9024398318781034,0.6940679325481793,0.6852641320459687,461.19172066042194,3.503767738806389e-98,7.879231026947655,7.585944700398302e-13,0.0045927616980709525,0.006904164371288451,0.0036161588412312894,0.007130383624261771,0.011183909483579023,0.006882899590772134,nan,nan,nan,nan,0.09313123732859406,0.09885213292381949,0.09318602924738353,0.0996977685096366
ranknet,precision@10,0.06725730923496753,-29259058.144804157,-1.2876488530408234,-0.6318715994870026,-0.4979518448581652,0.9057898148687495,0.9038572982506726,0.6386118777927474,0.628212219599733,468.70997454609784,8.422927920238263e-99,6.285044400809239,3.728386201046581e-09,0.00262429525209512,0.003984114683397383,0.00177419969351409,0.003962091011976588,0.006535996275530765,0.0033899660424334464,0.056835709151182606,0.05911053589647867,0.05672597588575531,0.05951004147357401,0.0563485541525507,0.05934027331043931,0.0563468498337155,0.05968190750635028
ranknet,precision@50,0.014498836319578589,-10317845.106022216,-1.3803308996818355,-0.18799016210375824,-0.6916292825436738,0.8934545069737199,0.8912689583988218,0.42329667067952237,0.4067008914185014,408.8010292863865,1.3480461914224513e-93,2.9508579528767567,0.0037042495834935024,0.00035816613201474087,0.0005366126282096846,0.00010981769739074095,0.0004972483270951586,0.0008552943903980979,0.0002522490479527498,nan,nan,nan,nan,0.013784333611248954,0.014134369117265972,0.013777320878067335,0.014161191310936494
ranknet,precision@100,0.006928366766119968,-0.30549970374124286,-1.3525055751446586,-0.0008593974881543989,-3.1489308587711875,nan,nan,-5180429893056474.0,-5329507012281121.0,-48.75,1.0,1.380332517520882,0.16963823896744243,1.3214601786496685e-11,6.310696677234847e-11,7.543865004456877e-12,1.2998222810589599e-11,6.113271127659831e-11,6.434141414102257e-12,nan,nan,nan,nan,0.006928366750591026,0.006928366780226738,0.00692836675086924,0.006928366780955956
ranknet,ndcg@1,0.3040323964634954,-31158674.57187081,-1.1894426491694694,-1.366495449658578,-0.3282748855737271,0.9106147613470565,0.908781217990073,0.706057515508497,0.6975987389763675,496.6420662368191,5.030595350452576e-101,9.31107532497002,2.06214997675911e-16,0.01252377528750482,0.01812656773016969,0.00978121146775245,0.020464680662691356,0.027767181259931082,0.020464680662691356,nan,nan,nan,nan,0.21135786945433438,0.22529164018047826,0.21160783344096495,0.22746801231922592
ranknet,ndcg@2,0.3771655604948009,-43533146.163758434,-1.1964571032079683,-1.9480428454118424,-0.3585984269693044,0.9082429114425604,0.9063607147542027,0.6903622671089316,0.6814518287523541,482.54410235681894,6.448324621419904e-100,10.067148928681476,2.3683411706748196e-18,0.016589542416910075,0.02353868598630475,0.013996662105635006,0.026765016793418858,0.03628899314289115,0.026765016793418858,nan,nan,nan,nan,0.2736328759875811,0.29144265294005034,0.2738937524113181,0.29414156441512906
ranknet,ndcg@5,0.44096225795395055,-51486883.4268941,-1.1973445216203473,-2.777571544745942,-0.4038405626693405,0.9072306233301828,0.9053276617574686,0.6966569134725962,0.6879276160185701,476.74668597548043,1.8773999716823527e-99,8.74508134848967,5.550091687161989e-15,0.017887909898834556,0.026506868656543617,0.014537116264134876,0.028439452589848785,0.04216178058543412,0.028432948487073766,nan,nan,nan,nan,0.33809544451544193,0.3592872143068836,0.3383563451043095,0.3624672813523014
ranknet,ndcg@10,0.4665721944009405,-87843524.47548668,-1.230340874884373,-3.281722505761699,-0.4303664072472479,0.9089310243824774,0.9070629428313488,0.6810365972143553,0.671857794256495,486.55853585905516,3.097616959233082e-100,8.00300884824121,3.7954999814355814e-13,0.018412558114792407,0.027759716686603854,0.01445499271066418,0.02884838939856563,0.04462118547375122,0.0281824751734657,0.3724769932268001,0.3897397743769623,0.37139681648122974,0.3918454192119745,0.36896309142470773,0.39044695692686204,0.3691301884631957,0.3933793539129551
ranknet,ndcg@50,0.4730299192589499,-75469201.24888648,-1.2321064885727073,-3.394541435184789,-0.46563338542571936,0.9116484300281857,0.909836090131328,0.6720570623583715,0.6626198555197635,503.0228775566991,1.6202504394827946e-101,7.420717576077848,9.516199833238868e-12,0.016067873045663508,0.023997439664756808,0.01183548290371539,0.02486118505100836,0.03947694571160172,0.023735400911243085,nan,nan,nan,nan,0.39706066706124943,0.415552721892093,0.39715424226706797,0.41803249795316655
ranknet,ndcg@100,0.47288465769780047,-55174799.79362402,-1.2189881978108463,-2.419110835996783,-0.42471523648338705,0.9104261160617769,0.908588703057916,0.6851618523963252,0.6761017618178022,495.4934541927612,6.177340951573511e-101,8.22291426939971,1.09890163203504e-13,0.01394480080111554,0.020813502823525228,0.010969202082383701,0.021996616259271972,0.03358332938701868,0.021754844007514925,nan,nan,nan,nan,0.39758604915631585,0.41375319954435436,0.39773301247734916,0.4160317138108469
ranknet,MAP,0.411820247662607,-53769752.78276066,-1.2085419629681937,-2.4548123949208267,-0.4011043576318116,0.9101377478456422,0.908294419596322,0.692808210371813,0.6839681588717212,493.7469754403813,8.448217828422292e-101,8.682538719271873,7.958947091989429e-15,0.015860368508548828,0.023580713705041965,0.012794804503213504,0.025397631160111178,0.037588488973941694,0.025381931950990158,0.32272761009030143,0.3358583667808424,0.322573453668454,0.3367439481377343,0.31934174597656945,0.33771407404524095,0.31955444038110803,0.3403948353984696
ranknet,MRR,0.41330814008148054,-59030901.79569691,-1.2139705661996583,-2.4969356023185876,-0.4038589501823969,0.9097285117215392,0.907876788885058,0.6895693680866304,0.6806361124920011,491.2876235032338,1.315131192917477e-100,8.658573353911637,9.136095450888928e-15,0.016044556623336204,0.023837684040502075,0.012938256434897757,0.025505307478626386,0.03789090661023663,0.02547967953846708,0.3243054620335955,0.33617850122782644,0.32461447355292156,0.3388863235949648,0.3213294433820578,0.33979855773507806,0.3215328987500907,0.34245482005066097
ranknet,CE100,1.2689989544223599e-19,58.56200688244904,-0.15776565608119206,9.292437535106435,-0.44270567514847525,0.6207434966941883,0.6129638761135563,0.09302344581778266,0.06692340109311457,79.79097312786399,5.432565592926246e-40,5.9216893762739495,2.2636389111539714e-08,0.7454895936943027,0.8891337622725949,0.4689258344020146,0.08138666621766731,0.18524551085406066,0.04707268504531184,nan,nan,nan,nan,2.4257705561155545,3.1522833952188467,1.744069038045515,3.141246099340754
